,District,VDC/Municipality,Urban/Rural,Age,Gender,Marital Status,Caste/ethnicity,Occupation,What is the current status of your home?,1. Are your main reconstruction needs being addressed?,2. Do you have the information you need to access housing reconstruction support?,3. Have you consulted an engineer for your housing reconstruction needs?,5. Have you received any housing reconstruction support (this includes both financial and technical)?,6. Have you been able to commit your own resources?,7.  Are you aware how to build by using safer housing practices?,8. Do you face any barriers to receive support to reconstruct your house?,10. Are you satisfied with grant dispersal process?,"11. Besides building your home, what is the biggest community reconstruction need of your community?","12. Overall, is the post-earthquake reconstruction process making progress?",12. Are your family’s daily food need being met?,13. What is your primary source of income generation now?,14. How much of your own food do you grow?,15. Has damage from the earthquake impacted your livelihood?,16. Do you face any constraints to livelihood recovery?,17. What one skill would you like to develop in support of your livelihood?,18. Do you feel that your source of livelihood would survive another disaster?,19. Have any members of your family been required to migrate to support your family’s recovery?,HRRP_DNAME,HRRP_DCODE
1652,Rasuwa,Dhunche VDC,Rural,40-54,Male,Married,Tamang,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Completely yes,Religious/ Cultural Heritages,Somewhat yes,Completely yes,Agriculture / livestock,Half,Somewhat yes,Not at all,Masonry,Not at all,No,Rasuwa,524 2 05 29
1653,Rasuwa,Dhunche VDC,Rural,25-39,Female,Married,Tamang,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Religious/ Cultural Heritages,Somewhat yes,Completely yes,Agriculture / livestock,Half,Somewhat yes,Not at all,Masonry,Not at all,No,Rasuwa,524 2 05 29
1654,Rasuwa,Dhunche VDC,Rural,40-54,Female,Married,Tamang,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Completely yes,Community Centre,Somewhat yes,Completely yes,Agriculture / livestock,Half,Somewhat yes,Not at all,New farming skills,Not at all,No,Rasuwa,524 2 05 29
1655,Rasuwa,Haku VDC,Rural,25-39,Male,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Most,Somewhat yes,Not many,Masonry,Not at all,No,Rasuwa,524 2 05 29
1656,Rasuwa,Haku VDC,Rural,15-24,Female,Married,Tamang,Agriculture,Reconstruction completed,Completely yes,Completely yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Completely yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Most,Not very much,Not many,Tailoring,Not very much,No,Rasuwa,524 2 05 29
1657,Rasuwa,Haku VDC,Rural,25-39,Female,Married,Tamang,Agriculture,Reconstruction completed,Completely yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Not very much,Agriculture / livestock,Half,Somewhat yes,Not many,Tailoring,Not very much,No,Rasuwa,524 2 05 29
1658,Rasuwa,Haku VDC,Rural,25-39,Male,Married,Tamang,Agriculture,Reconstruction started,Somewhat yes,Completely yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Completely yes,Trails/lane,Somewhat yes,Somewhat yes,Agriculture / livestock,Most,Somewhat yes,Not many,Carpentry,Not very much,No,Rasuwa,524 2 05 29
1659,Rasuwa,Haku VDC,Rural,25-39,Male,Married,Tamang,Labourer,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Not very much,Labour,Half,Somewhat yes,Some concern,Carpentry,Not very much,No,Rasuwa,524 2 05 29
1660,Rasuwa,Haku VDC,Rural,55+,Female,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Not very much,Somewhat yes,Have Consulted,"Not yet, but expected",Not very much,Somewhat yes,Somewhat yes,Somewhat yes,Water supply,Don’t Know/Refused,Somewhat yes,Agriculture / livestock,Most,Not very much,Not many,Handicraft production,Not very much,No,Rasuwa,524 2 05 29
1661,Rasuwa,Haku VDC,Rural,40-54,Male,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Not very much,Somewhat yes,Have Consulted,"Not yet, but expected",Not very much,Somewhat yes,Completely yes,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Most,Somewhat yes,Some concern,Masonry,Not very much,No,Rasuwa,524 2 05 29
1662,Rasuwa,Haku VDC,Rural,25-39,Male,Married,Tamang,Labourer,Completely destroyed - rubble cleared,Not very much,Somewhat yes,Have Consulted,"Not yet, but expected",Somewhat yes,Completely yes,Somewhat yes,Somewhat yes,Water supply,Somewhat yes,Somewhat yes,Labour,Little  bit,Completely yes,Some concern,Carpentry,Not at all,No,Rasuwa,524 2 05 29
1663,Rasuwa,Haku VDC,Rural,25-39,Female,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Not very much,Somewhat yes,Have Consulted,"Not yet, but expected",Not very much,Somewhat yes,Somewhat yes,Somewhat yes,Trails/lane,Somewhat yes,Completely yes,Agriculture / livestock,Most,Somewhat yes,Not many,Tailoring,Not at all,No,Rasuwa,524 2 05 29
1664,Rasuwa,Haku VDC,Rural,40-54,Male,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Not very much,Somewhat yes,Have Consulted,"Not yet, but expected",Somewhat yes,Somewhat yes,Somewhat yes,Somewhat yes,Water supply,Somewhat yes,Somewhat yes,Agriculture / livestock,Most,Somewhat yes,Not many,Carpentry,Not very much,No,Rasuwa,524 2 05 29
1665,Rasuwa,Dhunche VDC,Rural,25-39,Male,Married,Tamang,Government job,Reconstruction started,Somewhat yes,Completely yes,Have Consulted,Yes,Somewhat yes,Completely yes,Not very much,Completely yes,Religious/ Cultural Heritages,Somewhat yes,Completely yes,Government job,Half,Not very much,Not many,New farming skills,Not very much,No,Rasuwa,524 2 05 29
1666,Rasuwa,Dhunche VDC,Rural,15-24,Female,Married,Tamang,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Religious/ Cultural Heritages,Somewhat yes,Completely yes,Agriculture / livestock,Most,Somewhat yes,Not many,Tailoring,Not very much,No,Rasuwa,524 2 05 29
1667,Rasuwa,Dhunche VDC,Rural,55+,Male,Married,Tamang,Agriculture,Reconstruction completed,Completely yes,Completely yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Completely yes,Religious/ Cultural Heritages,Somewhat yes,Somewhat yes,Agriculture / livestock,Most,Somewhat yes,Not many,New farming skills,Not very much,No,Rasuwa,524 2 05 29
1668,Rasuwa,Dhunche VDC,Rural,15-24,Female,Never Married,Tamang,Shopkeeper,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Completely yes,Not very much,Somewhat yes,Community Centre,Somewhat yes,Completely yes,Agriculture / livestock,All,Somewhat yes,Not many,Tailoring,Not very much,No,Rasuwa,524 2 05 29
1669,Rasuwa,Dhunche VDC,Rural,40-54,Male,Married,Tamang,Agriculture,Reconstruction completed,Completely yes,Completely yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Community Centre,Somewhat yes,Completely yes,Agriculture / livestock,Half,Somewhat yes,Not many,New farming skills,Not very much,No,Rasuwa,524 2 05 29
1670,Rasuwa,Ramche VDC,Rural,40-54,Male,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Half,Somewhat yes,Not at all,New farming skills,Not at all,No,Rasuwa,524 2 05 29
1671,Rasuwa,Ramche VDC,Rural,40-54,Female,Married,Tamang,Agriculture,Completely destroyed – rubble not cleared,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Trails/lane,Somewhat yes,Somewhat yes,Agriculture / livestock,Little  bit,Somewhat yes,Not at all,New farming skills,Not at all, Yes,Rasuwa,524 2 05 29
1672,Rasuwa,Ramche VDC,Rural,40-54,Male,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Half,Somewhat yes,Not at all,New farming skills,Not at all,No,Rasuwa,524 2 05 29
1673,Rasuwa,Ramche VDC,Rural,55+,Female,Married,Tamang,Agriculture,Completely destroyed – rubble not cleared,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Somewhat yes,Somewhat yes,Trails/lane,Somewhat yes,Completely yes,Agriculture / livestock,Half,Somewhat yes,Not many,New farming skills,Not very much,No,Rasuwa,524 2 05 29
1674,Rasuwa,Ramche VDC,Rural,55+,Male,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Half,Somewhat yes,Not at all,New farming skills,Not at all,No,Rasuwa,524 2 05 29
1675,Rasuwa,Ramche VDC,Rural,25-39,Male,Married,Tamang,Labourer,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Most,Somewhat yes,Not at all,Masonry,Not at all,No,Rasuwa,524 2 05 29
1676,Rasuwa,Ramche VDC,Rural,40-54,Female,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Completely yes,Trails/lane,Somewhat yes,Completely yes,Agriculture / livestock,Most,Somewhat yes,Not at all,New farming skills,Not at all,No,Rasuwa,524 2 05 29
1677,Rasuwa,Ramche VDC,Rural,40-54,Male,Married,Tamang,Labourer,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Trails/lane,Somewhat yes,Completely yes,Masonry,Most,Somewhat yes,Not at all,Masonry,Not at all,No,Rasuwa,524 2 05 29
1678,Rasuwa,Ramche VDC,Rural,55+,Male,Married,Tamang,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Trails/lane,Somewhat yes,Completely yes,Agriculture / livestock,Most,Somewhat yes,Not at all,New farming skills,Not at all,No,Rasuwa,524 2 05 29
1679,Rasuwa,Ramche VDC,Rural,40-54,Female,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Trails/lane,Somewhat yes,Completely yes,Agriculture / livestock,Most,Somewhat yes,Not at all,New farming skills,Not at all,No,Rasuwa,524 2 05 29
1680,Rasuwa,Ramche VDC,Rural,25-39,Male,Married,Tamang,Agriculture,Reconstruction started,Not very much,Somewhat yes,Have Consulted,"Not yet, but expected",Somewhat yes,Somewhat yes,Somewhat yes,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Little  bit,Somewhat yes,Not many,Driving,Not very much,No,Rasuwa,524 2 05 29
1681,Rasuwa,Ramche VDC,Rural,25-39,Female,Married,Tamang,Agriculture,Completely destroyed – rubble not cleared,Not very much,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Completely yes,Job at private company,Half,Not very much,Not many,New farming skills,Not very much,No,Rasuwa,524 2 05 29
1682,Rasuwa,Ramche VDC,Rural,55+,Male,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Somewhat yes,Somewhat yes,Trails/lane,Don’t Know/Refused,Completely yes,Labour,Half,Somewhat yes,Not many,Handicraft production,Not very much,No,Rasuwa,524 2 05 29
1683,Rasuwa,Ramche VDC,Rural,25-39,Female,Married but spouse is out of home,Tamang,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Completely yes,Remittance,Half,Not very much,Not many,Tailoring,Not very much, Yes,Rasuwa,524 2 05 29
1684,Rasuwa,Ramche VDC,Rural,25-39,Female,Married,Tamang,Agriculture,Reconstruction completed,Completely yes,Completely yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Completely yes,Hospitals/Health Centre,Somewhat yes,Completely yes,Agriculture / livestock,Most,Somewhat yes,Not many,New farming skills,Not very much,No,Rasuwa,524 2 05 29
1685,Rasuwa,Ramche VDC,Rural,40-54,Male,Married,Tamang,"Skilled worker (i.e. carpenter, masons)",Reconstruction started,Somewhat yes,Completely yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Completely yes,Water supply,Somewhat yes,Completely yes,Masonry,Half,Somewhat yes,Some concern,Masonry,Not very much,No,Rasuwa,524 2 05 29
1686,Rasuwa,Ramche VDC,Rural,40-54,Female,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Somewhat yes,Somewhat yes,Trails/lane,Somewhat yes,Completely yes,Agriculture / livestock,Most,Somewhat yes,Not many,New farming skills,Not very much,No,Rasuwa,524 2 05 29
1687,Rasuwa,Ramche VDC,Rural,40-54,Male,Married,Tamang,Agriculture,Completely destroyed – rubble not cleared,Not very much,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Somewhat yes,Somewhat yes,Roads,Somewhat yes,Completely yes,Agriculture / livestock,Most,Somewhat yes,Not many,New farming skills,Not very much,No,Rasuwa,524 2 05 29
1688,Rasuwa,Ramche VDC,Rural,15-24,Female,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Not very much,Somewhat yes,Have not consulted,"Not yet, but expected",Somewhat yes,Somewhat yes,Somewhat yes,Not very much,Roads,Somewhat yes,Completely yes,Agriculture / livestock,All,Somewhat yes,Some concern,Tailoring,Not very much,No,Rasuwa,524 2 05 29
1689,Rasuwa,Ramche VDC,Rural,40-54,Male,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Not very much,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Somewhat yes,Not very much,Roads,Don’t Know/Refused,Completely yes,Agriculture / livestock,Half,Somewhat yes,Not many,New farming skills,Not very much,No,Rasuwa,524 2 05 29
1690,Rasuwa,Saramthali  VDC,Rural,25-39,Male,Married,Tamang,Shopkeeper,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Water supply,Somewhat yes,Completely yes,Tea shop/shop,Half,Somewhat yes,Not at all,Entrepreneurship,Not at all,No,Rasuwa,524 2 05 29
1691,Rasuwa,Saramthali  VDC,Rural,40-54,Female,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Most,Somewhat yes,Some concern,Masonry,Not at all,No,Rasuwa,524 2 05 29
1692,Rasuwa,Saramthali  VDC,Rural,40-54,Female,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Most,Completely yes,Not at all,New farming skills,Not at all,No,Rasuwa,524 2 05 29
1693,Rasuwa,Saramthali  VDC,Rural,40-54,Male,Married,Tamang,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Completely yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Most,Somewhat yes,Not at all,Masonry,Not at all,No,Rasuwa,524 2 05 29
1694,Rasuwa,Saramthali  VDC,Rural,55+,Male,Married,Tamang,Unemployed,Reconstruction completed,Completely yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Completely yes,Schools,Somewhat yes,Completely yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Not very much,No,Rasuwa,524 2 05 29
1695,Rasuwa,Saramthali  VDC,Rural,25-39,Male,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Somewhat yes,Completely yes,Agriculture / livestock,All,Somewhat yes,Not many,New farming skills,Not very much,No,Rasuwa,524 2 05 29
1696,Rasuwa,Saramthali  VDC,Rural,25-39,Female,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Trails/lane,Somewhat yes,Completely yes,Agriculture / livestock,Most,Somewhat yes,Not at all,Masonry,Not at all,No,Rasuwa,524 2 05 29
1697,Rasuwa,Saramthali  VDC,Rural,25-39,Female,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Trails/lane,Somewhat yes,Completely yes,Agriculture / livestock,Most,Somewhat yes,Not at all,Tailoring,Not at all,No,Rasuwa,524 2 05 29
1698,Rasuwa,Saramthali  VDC,Rural,25-39,Female,Married,Tamang,Agriculture,Reconstruction completed,Completely yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Trails/lane,Somewhat yes,Completely yes,Agriculture / livestock,All,Somewhat yes,Not at all,Tailoring,Not at all,No,Rasuwa,524 2 05 29
1699,Rasuwa,Saramthali  VDC,Rural,55+,Male,Married,Tamang,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Trails/lane,Somewhat yes,Completely yes,Agriculture / livestock,Most,Not very much,Not at all,New farming skills,Not at all,No,Rasuwa,524 2 05 29
1700,Rasuwa,Saramthali  VDC,Rural,40-54,Male,Married,Tamang,Shopkeeper,Heavily damaged,Not very much,Completely yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Somewhat yes,Somewhat yes,Schools,Somewhat yes,Completely yes,Tea shop/shop,Half,Not very much,Not many,Handicraft production,Not very much,No,Rasuwa,524 2 05 29
1701,Rasuwa,Saramthali  VDC,Rural,15-24,Female,Married but spouse is out of home,Tamang,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Schools,Somewhat yes,Completely yes,Remittance,Half,Somewhat yes,Not many,Tailoring,Not very much,No,Rasuwa,524 2 05 29
1702,Rasuwa,Saramthali  VDC,Rural,15-24,Female,Married,Tamang,"Skilled worker (i.e. carpenter, masons)",Heavily damaged,Not very much,Somewhat yes,Have Consulted,"Not yet, but expected",Somewhat yes,Somewhat yes,Completely yes,Somewhat yes,Schools,Somewhat yes,Completely yes,Masonry,Little  bit,Not very much,Not many,Tailoring,Not very much,No,Rasuwa,524 2 05 29
1703,Rasuwa,Saramthali  VDC,Rural,15-24,Male,Married,Tamang,Shopkeeper,Heavily damaged,Not very much,Completely yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Somewhat yes,Completely yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Most,Somewhat yes,Not many,Computer training,Not very much,No,Rasuwa,524 2 05 29
1704,Rasuwa,Saramthali  VDC,Rural,40-54,Female,Married,Tamang,"Skilled worker (i.e. carpenter, masons)",Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Most,Somewhat yes,Not many,Tailoring,Not very much,No,Rasuwa,524 2 05 29
1705,Rasuwa,Saramthali  VDC,Rural,40-54,Male,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Not at all,Somewhat yes,Have not consulted,"Not yet, but expected",Somewhat yes,Somewhat yes,Somewhat yes,Not very much,Trails/lane,Don’t Know/Refused,Completely yes,Agriculture / livestock,All,Somewhat yes,Not many,New farming skills,Not very much,No,Rasuwa,524 2 05 29
1706,Rasuwa,Saramthali  VDC,Rural,15-24,Female,Married,Tamang,Agriculture,Heavily damaged,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Somewhat yes,Completely yes,Agriculture / livestock,Most,Not very much,Not many,Tailoring,Not very much,No,Rasuwa,524 2 05 29
1707,Rasuwa,Saramthali  VDC,Rural,55+,Male,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Not very much,Somewhat yes,Have Consulted,"Not yet, but expected",Not very much,Somewhat yes,Somewhat yes,Not very much,Trails/lane,Don’t Know/Refused,Completely yes,Agriculture / livestock,Most,Somewhat yes,Not many,New farming skills,Not very much,No,Rasuwa,524 2 05 29
1708,Rasuwa,Saramthali  VDC,Rural,25-39,Female,Married,Tamang,Agriculture,Reconstruction completed,Completely yes,Completely yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Completely yes,Trails/lane,Don’t Know/Refused,Completely yes,Agriculture / livestock,Half,Completely yes,Not many,Tailoring,Not very much,No,Rasuwa,524 2 05 29
1709,Rasuwa,Saramthali  VDC,Rural,25-39,Male,Married,Tamang,I/NGO worker,Reconstruction completed,Completely yes,Completely yes,Have Consulted,Yes,Somewhat yes,Completely yes,Not very much,Completely yes,Trails/lane,Somewhat yes,Completely yes,I/NGO job,Little  bit,Somewhat yes,Not many,Entrepreneurship,Not very much,No,Rasuwa,524 2 05 29
1710,Okhaldhunga,Pokali VDC,Rural,25-39,Female,Married,Tamang,Agriculture,Heavily damaged,Not very much,Not very much,Have not consulted,"Not yet, do not expect to receive",Somewhat yes,Not very much,Completely yes,Not very much,Water supply,Not very much,Somewhat yes,Government job,Most,Somewhat yes,Not many,New farming skills,Somewhat yes,No,Okhaldhunga,524 1 03 12
1711,Okhaldhunga,Pokali VDC,Rural,25-39,Female,Married,Tamang,Agriculture,Heavily damaged,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Hospitals/Health Centre,Somewhat yes,Somewhat yes,Remittance,Half,Somewhat yes,Not many,New farming skills,Somewhat yes, Yes,Okhaldhunga,524 1 03 12
1712,Okhaldhunga,Pokali VDC,Rural,55+,Male,Married,Tamang,Agriculture,Heavily damaged,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Hospitals/Health Centre,Somewhat yes,Somewhat yes,Agriculture / livestock,Most,Somewhat yes,Some concern,New farming skills,Somewhat yes,No,Okhaldhunga,524 1 03 12
1713,Okhaldhunga,Pokali VDC,Rural,40-54,Male,Married,Tamang,Private sector job,Heavily damaged,Not at all,Completely yes,Have Consulted,No,Somewhat yes,Completely yes,Completely yes,Not very much,Roads,Not very much,Completely yes,Agriculture / livestock,Most,Somewhat yes,Some concern,New farming skills,Somewhat yes,No,Okhaldhunga,524 1 03 12
1714,Okhaldhunga,Pokali VDC,Rural,25-39,Female,Married,Tamang,Agriculture,Heavily damaged,Not very much,Not very much,Have Consulted,"Not yet, but expected",Not very much,Somewhat yes,Completely yes,Not very much,Roads,Not very much,Somewhat yes,Agriculture / livestock,Half,Not very much,Some concern,New farming skills,Not very much,No,Okhaldhunga,524 1 03 12
1715,Okhaldhunga,Pokali VDC,Rural,40-54,Male,Married,Tamang,Agriculture,Heavily damaged,Not at all,Not very much,Have not consulted,No,Not very much,Somewhat yes,Completely yes,Not at all,Roads,Not very much,Somewhat yes,Agriculture / livestock,Most,Somewhat yes,Some concern,New farming skills,Somewhat yes,No,Okhaldhunga,524 1 03 12
1716,Okhaldhunga,Pokali VDC,Rural,55+,Male,Married,Tamang,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Somewhat yes,Somewhat yes,Roads,Not very much,Somewhat yes,Agriculture / livestock,Half,Not very much,Some concern,New farming skills,Not very much, Yes,Okhaldhunga,524 1 03 12
1717,Okhaldhunga,Pokali VDC,Rural,25-39,Female,Married,Tamang,Agriculture,Minor damaged,Not very much,Not very much,Have Consulted,No,Somewhat yes,Somewhat yes,Somewhat yes,Not at all,Roads,Not very much,Somewhat yes,Government job,Most,Somewhat yes,Not many,Tailoring,Somewhat yes,No,Okhaldhunga,524 1 03 12
1718,Okhaldhunga,Pokali VDC,Rural,40-54,Female,Married,Tamang,Agriculture,Heavily damaged,Not at all,Not very much,Have not consulted,No,Not very much,Somewhat yes,Completely yes,Not very much,Roads,Not very much,Somewhat yes,Agriculture / livestock,Half,Somewhat yes,Some concern,Tailoring,Not very much,No,Okhaldhunga,524 1 03 12
1719,Okhaldhunga,Pokali VDC,Rural,25-39,Male,Married,Tamang,Agriculture,Minor damaged,Not at all,Not very much,Have not consulted,No,Not very much,Completely yes,Completely yes,Not at all,Roads,Not at all,Somewhat yes,Agriculture / livestock,Half,Not very much,Some concern,Entrepreneurship,Somewhat yes,No,Okhaldhunga,524 1 03 12
1720,Okhaldhunga,Pokali VDC,Rural,15-24,Female,Never Married,Tamang,Student,Heavily damaged,Not very much,Not very much,Have not consulted,No,Somewhat yes,Somewhat yes,Somewhat yes,Not very much,Roads,Not very much,Somewhat yes,Agriculture / livestock,Most,Not very much,Some concern,New farming skills,Somewhat yes,No,Okhaldhunga,524 1 03 12
1721,Okhaldhunga,Pokali VDC,Rural,25-39,Male,Married,Tamang,Agriculture,Heavily damaged,Not very much,Not very much,Have not consulted,No,Somewhat yes,Somewhat yes,Completely yes,Not very much,Roads,Not very much,Not very much,Agriculture / livestock,Half,Not very much,Some concern,Driving,Not very much,No,Okhaldhunga,524 1 03 12
1722,Okhaldhunga,Pokali VDC,Rural,40-54,Male,Married,Tamang,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Roads,Not very much,Somewhat yes,Agriculture / livestock,All,Somewhat yes,Some concern,New farming skills,Somewhat yes, Yes,Okhaldhunga,524 1 03 12
1723,Okhaldhunga,Pokali VDC,Rural,25-39,Female,Married,Tamang,Agriculture,Heavily damaged,Not very much,Not very much,Have not consulted,No,Somewhat yes,Not very much,Somewhat yes,Not very much,Roads,Not very much,Somewhat yes,Agriculture / livestock,Half,Not very much,Some concern,New farming skills,Not very much,No,Okhaldhunga,524 1 03 12
1724,Okhaldhunga,Pokali VDC,Rural,25-39,Female,Married,Tamang,Agriculture,Heavily damaged,Not at all,Not very much,Have not consulted,"Not yet, but expected",Not very much,Somewhat yes,Somewhat yes,Not very much,Roads,Not very much,Not very much,Agriculture / livestock,Little  bit,Not very much,Some concern,New farming skills,Not very much,No,Okhaldhunga,524 1 03 12
1725,Okhaldhunga,Pokali VDC,Rural,25-39,Female,Married,Tamang,Agriculture,Heavily damaged,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Not very much,Somewhat yes,Not very much,Roads,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Some concern,New farming skills,Somewhat yes,No,Okhaldhunga,524 1 03 12
